bank_reference,settlement_id,amount,transaction_date,bank_status
BANKREF300000,SETL200000,3975.37,2026-08-12,CREDITED
BANKREF300002,SETL200002,26042.68,2026-08-22,CREDITED
BANKREF300003,SETL200003,1985.07,2026-08-10,CREDITED
BANKREF300004,SETL200004,33638.1,2026-08-08,CREDITED
BANKREF300006,SETL200006,20799.95,2026-08-13,CREDITED
BANKREF300007,SETL200007,19700.64,2026-08-18,CREDITED
BANKREF300008,SETL200008,26863.78,2026-08-13,CREDITED
BANKREF300009,SETL200009,50490.84,2026-08-03,CREDITED
BANKREF300010,SETL200010,2369.67,2026-08-19,CREDITED
BANKREF300011,SETL200011,12290.89,2026-08-20,CREDITED
BANKREF300012,SETL200012,7574.01,2026-08-23,CREDITED
BANKREF300013,SETL200013,5869.54,2026-08-06,CREDITED
BANKREF300014,SETL200014,54936.42,2026-08-12,CREDITED
BANKREF300015,SETL200015,14714.62,2026-08-20,CREDITED
BANKREF300017,SETL200017,16949.56,2026-08-12,CREDITED
BANKREF300018,SETL200018,26700.6,2026-08-18,CREDITED
BANKREF300019,SETL200019,57661.55,2026-08-10,CREDITED
BANKREF300020,SETL200020,3003.77,2026-08-18,CREDITED
BANKREF300021,SETL200021,56814.7,2026-08-07,CREDITED
BANKREF300022,SETL200022,51566.24,2026-08-17,CREDITED
BANKREF300023,SETL200023,42384.95,2026-08-16,CREDITED
BANKREF300024,SETL200024,36617.12,2026-08-15,CREDITED
BANKREF300025,SETL200025,55650.25,2026-08-23,CREDITED
BANKREF300026,SETL200026,14207.61,2026-08-12,CREDITED
BANKREF300027,SETL200027,44916.18,2026-08-06,CREDITED
BANKREF300028,SETL200028,3152.37,2026-08-04,CREDITED
BANKREF300029,SETL200029,8897.13,2026-09-12,CREDITED
BANKREF300030,SETL200030,10687.33,2026-08-24,CREDITED
BANKREF300031,SETL200031,15432.85,2026-08-11,CREDITED
BANKREF300032,SETL200032,39738.95,2026-08-08,CREDITED
BANKREF300033,SETL200033,37661.31,2026-08-16,CREDITED
BANKREF300034,SETL200034,6711.53,2026-08-15,CREDITED
BANKREF300035,SETL200035,1757.69,2026-08-15,CREDITED
BANKREF300036,SETL200036,49108.9,2026-08-12,CREDITED
BANKREF300037,SETL200037,37599.83,2026-08-22,CREDITED
BANKREF300039,SETL200039,5739.8,2026-08-12,CREDITED
BANKREF300040,SETL200040,8193.77,2026-08-20,CREDITED
BANKREF300042,SETL200042,56701.95,2026-08-07,CREDITED
BANKREF300043,SETL200043,5721.94,2026-08-15,CREDITED
BANKREF300044,SETL200044,34348.78,2026-08-23,CREDITED
BANKREF300045,SETL200045,1945.76,2026-08-20,CREDITED
BANKREF300046,SETL200046,37614.94,2026-08-17,CREDITED
BANKREF300047,SETL200047,8657.55,2026-08-04,CREDITED
BANKREF300048,SETL200048,23128.23,2026-08-14,CREDITED
BANKREF300049,SETL200049,52490.24,2026-08-23,CREDITED
BANKREF300050,SETL200050,13082.14,2026-08-20,CREDITED
BANKREF300051,SETL200051,3997.19,2026-08-11,CREDITED
BANKREF300052,SETL200052,39213.76,2026-08-23,CREDITED
