journal_id,merchant_id,transaction_id,debit,credit,account,date
JNL400000,M002,TXN100000,0.0,3975.37,Merchant Payable,2026-08-11
JNL400002,M008,TXN100002,0.0,26042.68,Merchant Payable,2026-08-21
JNL400003,M005,TXN100003,0.0,1985.07,Merchant Payable,2026-08-09
JNL400004,M005,TXN100004,0.0,33638.1,Merchant Payable,2026-08-07
JNL400006,M008,TXN100006,0.0,20799.95,Merchant Payable,2026-08-12
JNL400007,M003,TXN100007,0.0,19700.64,Merchant Payable,2026-08-17
JNL400008,M001,TXN100008,0.0,26863.78,Merchant Payable,2026-08-12
JNL400009,M007,TXN100009,0.0,50490.84,Merchant Payable,2026-08-02
JNL400010,M007,TXN100010,0.0,2369.67,Merchant Payable,2026-08-18
JNL400011,M001,TXN100011,0.0,12290.89,Merchant Payable,2026-08-19
JNL400012,M008,TXN100012,0.0,7244.25,Merchant Payable,2026-08-22
JNL400013,M007,TXN100013,0.0,5869.54,Merchant Payable,2026-08-05
JNL400014,M008,TXN100014,0.0,54936.42,Merchant Payable,2026-08-11
JNL400015,M008,TXN100015,0.0,14714.62,Merchant Payable,2026-08-19
JNL400017,M001,TXN100017,0.0,16949.56,Merchant Payable,2026-08-11
JNL400018,M003,TXN100018,0.0,26700.6,Merchant Payable,2026-08-17
JNL400019,M004,TXN100019,0.0,57661.55,Merchant Payable,2026-08-09
JNL400020,M007,TXN100020,0.0,3003.77,Merchant Payable,2026-08-17
JNL400021,M008,TXN100021,0.0,56814.7,Merchant Payable,2026-08-06
JNL400022,M002,TXN100022,0.0,51566.24,Merchant Payable,2026-08-16
JNL400023,M001,TXN100023,0.0,41995.47,Merchant Payable,2026-08-15
JNL400024,M006,TXN100024,0.0,36617.12,Merchant Payable,2026-08-14
JNL400025,M007,TXN100025,0.0,55650.25,Merchant Payable,2026-08-22
JNL400026,M002,TXN100026,0.0,14207.61,Merchant Payable,2026-08-11
JNL400027,M002,TXN100027,0.0,44916.18,Merchant Payable,2026-08-05
JNL400028,M001,TXN100028,0.0,3152.37,Merchant Payable,2026-08-03
JNL400029,M007,TXN100029,0.0,8897.13,Merchant Payable,2026-09-11
JNL400030,M003,TXN100030,0.0,10687.33,Merchant Payable,2026-08-23
JNL400031,M004,TXN100031,0.0,15432.85,Merchant Payable,2026-08-10
JNL400032,M005,TXN100032,0.0,39738.95,Merchant Payable,2026-08-07
JNL400033,M005,TXN100033,0.0,37661.31,Merchant Payable,2026-08-15
JNL400034,M008,TXN100034,0.0,6711.53,Merchant Payable,2026-08-14
JNL400035,M005,TXN100035,0.0,1757.69,Merchant Payable,2026-08-14
