transaction_id,merchant_id,merchant_name,customer_id,amount,timestamp,payment_method,status
TXN100000,M002,Bluewave Retail Pvt Ltd,CUST84607,4048.46,2026-08-10 19:00:00,NETBANKING,SUCCESS
TXN100001,M008,Harbor Analytics Pvt Ltd,CUST62757,7899.04,2026-08-10 22:00:00,NETBANKING,SUCCESS
TXN100002,M008,Harbor Analytics Pvt Ltd,CUST66626,26546.65,2026-08-20 01:00:00,NETBANKING,SUCCESS
TXN100003,M005,Orbit Mobility Pvt Ltd,CUST85392,2038.96,2026-08-08 21:00:00,UPI,SUCCESS
TXN100004,M005,Orbit Mobility Pvt Ltd,CUST67963,34786.7,2026-08-06 15:00:00,NETBANKING,SUCCESS
TXN100005,M003,Nimbus Foods LLP,CUST74451,59818.26,2026-08-14 20:00:00,UPI,SUCCESS
TXN100006,M008,Harbor Analytics Pvt Ltd,CUST97835,21203.68,2026-08-11 10:00:00,UPI,SUCCESS
TXN100007,M003,Nimbus Foods LLP,CUST96846,20123.32,2026-08-16 09:00:00,WALLET,SUCCESS
TXN100008,M001,ABC Technologies Pvt Ltd,CUST52372,27562.14,2026-08-11 08:00:00,UPI,SUCCESS
TXN100009,M007,Velocity Logistics Pvt Ltd,CUST81118,51962.18,2026-08-01 21:00:00,WALLET,SUCCESS
TXN100010,M007,Velocity Logistics Pvt Ltd,CUST75338,3725.14,2026-08-17 11:00:00,WALLET,SUCCESS
TXN100011,M001,ABC Technologies Pvt Ltd,CUST47752,12611.72,2026-08-18 04:00:00,WALLET,SUCCESS
TXN100012,M008,Harbor Analytics Pvt Ltd,CUST50730,7724.85,2026-08-21 19:00:00,UPI,SUCCESS
TXN100013,M007,Velocity Logistics Pvt. Ltd.,CUST94896,6045.95,2026-08-04 14:00:00,CARD,SUCCESS
TXN100014,M008,HARBOR ANALYTICS,CUST64459,55992.86,2026-08-10 16:00:00,WALLET,SUCCESS
TXN100015,M008,Harbor Analytics Pvt Ltd,CUST60277,15001.99,2026-08-18 04:00:00,CARD,SUCCESS
TXN100016,M003,Nimbus Foods LLP,CUST54548,51909.6,2026-08-09 13:00:00,NETBANKING,SUCCESS
TXN100017,M001,ABC Technologies Pvt Ltd,CUST96499,17328.92,2026-08-10 18:00:00,WALLET,SUCCESS
TXN100018,M003,Nimbus Foods LLP,CUST69682,27069.57,2026-08-16 11:00:00,NETBANKING,SUCCESS
TXN100019,M004,Craftline Traders Pvt Ltd,CUST60196,58856.09,2026-08-08 18:00:00,CARD,SUCCESS
