settlement_id,transaction_id,gross_amount,fee,tax,net_amount,settlement_date,status
SETL200000,TXN100000,4048.46,61.94,11.15,3975.37,2026-08-11,SETTLED
SETL200002,TXN100002,26546.65,427.09,76.88,26042.68,2026-08-21,SETTLED
SETL200003,TXN100003,2038.96,45.67,8.22,1985.07,2026-08-09,SETTLED
SETL200004,TXN100004,34786.7,973.39,175.21,33638.1,2026-08-07,SETTLED
SETL200006,TXN100006,21203.68,342.14,61.59,20799.95,2026-08-12,SETTLED
SETL200007,TXN100007,20123.32,358.2,64.48,19700.64,2026-08-17,SETTLED
SETL200008,TXN100008,27562.14,591.83,106.53,26863.78,2026-08-12,SETTLED
SETL200009,TXN100009,51962.18,1246.9,224.44,50490.84,2026-08-02,SETTLED
SETL200010,TXN100010,3725.14,94.03,16.93,2369.67,2026-08-18,SETTLED
SETL200011,TXN100011,12611.72,271.89,48.94,12290.89,2026-08-19,SETTLED
SETL200012,TXN100012,7724.85,127.83,23.01,7574.01,2026-08-22,SETTLED
SETL200013,TXN100013,6045.95,149.5,26.91,5869.54,2026-08-05,SETTLED
SETL200014,TXN100014,55992.86,895.29,161.15,54936.42,2026-08-11,SETTLED
SETL200015,TXN100015,15001.99,243.53,43.84,14714.62,2026-08-19,SETTLED
SETL200017,TXN100017,17328.92,372.84,6.52,16949.56,2026-08-11,SETTLED
SETL200018,TXN100018,27069.57,481.84,86.73,26700.6,2026-08-17,SETTLED
SETL200019,TXN100019,58856.09,1012.32,182.22,57661.55,2026-08-09,SETTLED
SETL200020,TXN100020,3097.01,79.02,14.22,3003.77,2026-08-17,SETTLED
SETL200021,TXN100021,57907.05,925.72,166.63,56814.7,2026-08-06,SETTLED
SETL200022,TXN100022,52514.33,803.47,144.62,51566.24,2026-08-16,SETTLED
SETL200023,TXN100023,43485.41,932.59,167.87,42384.95,2026-08-15,SETTLED
SETL200024,TXN100024,37583.93,819.33,147.48,36617.12,2026-08-14,SETTLED
SETL200025,TXN100025,57271.31,1373.78,247.28,55650.25,2026-08-22,SETTLED
SETL200026,TXN100026,14468.83,221.37,39.85,14207.61,2026-08-11,SETTLED
SETL200027,TXN100027,45742.0,699.85,125.97,44916.18,2026-08-05,SETTLED
SETL200028,TXN100028,3236.46,71.26,12.83,3152.37,2026-08-03,SETTLED
SETL200029,TXN100029,9161.4,223.96,40.31,8897.13,2026-09-11,SETTLED
SETL200030,TXN100030,10916.63,194.32,34.98,10687.33,2026-08-23,SETTLED
SETL200031,TXN100031,27938.42,480.54,86.5,15432.85,2026-08-10,SETTLED
SETL200032,TXN100032,40817.85,914.32,164.58,39738.95,2026-08-07,SETTLED
SETL200033,TXN100033,38516.85,862.78,155.3,37661.31,2026-08-15,SETTLED
SETL200034,TXN100034,6845.87,113.85,20.49,6711.53,2026-08-14,SETTLED
SETL200035,TXN100035,1805.41,40.44,7.28,1757.69,2026-08-14,SETTLED
SETL200036,TXN100036,50053.91,800.86,144.15,49108.9,2026-08-11,SETTLED
SETL200037,TXN100037,38378.76,660.11,118.82,37599.83,2026-08-21,SETTLED
SETL200039,TXN100039,5862.94,104.36,18.78,5739.8,2026-08-11,SETTLED
SETL200040,TXN100040,8363.51,143.85,25.89,8193.77,2026-08-19,SETTLED
SETL200041,TXN100041,15789.72,281.06,50.59,15458.07,2026-08-17,SETTLED
SETL200042,TXN100042,57792.15,923.9,166.3,56701.95,2026-08-06,SETTLED
SETL200043,TXN100043,5873.02,128.03,23.05,5721.94,2026-08-14,SETTLED
SETL200044,TXN100044,35281.33,790.3,142.25,34348.78,2026-08-22,SETTLED
SETL200045,TXN100045,1988.97,36.62,6.59,1945.76,2026-08-19,SETTLED
SETL200046,TXN100046,38306.53,586.09,105.5,37614.94,2026-08-16,SETTLED
SETL200047,TXN100047,8816.73,134.9,24.28,8657.55,2026-08-03,SETTLED
SETL200048,TXN100048,23624.43,420.51,75.69,23128.23,2026-08-13,SETTLED
SETL200049,TXN100049,53182.12,946.64,170.4,52490.24,2026-08-22,SETTLED
SETL200050,TXN100050,13427.55,292.72,52.69,13082.14,2026-08-19,SETTLED
SETL200051,TXN100051,4102.73,89.44,16.1,3997.19,2026-08-10,SETTLED
SETL200052,TXN100052,39934.74,611.0,109.98,39213.76,2026-08-22,SETTLED
SETL200053,TXN100053,47314.28,1014.53,182.62,45712.99,2026-08-09,SETTLED
SETL200054,TXN100054,48876.65,840.68,151.32,47884.65,2026-08-09,SETTLED
SETL200055,TXN100055,32642.82,581.04,104.59,31957.19,2026-08-07,SETTLED
SETL200056,TXN100056,1384.19,24.64,4.44,1355.11,2026-08-09,SETTLED
SETL200057,TXN100057,16289.37,289.95,52.19,15947.23,2026-08-06,SETTLED
SETL200058,TXN100058,28836.63,441.2,79.42,28316.01,2026-08-13,SETTLED
SETL200059,TXN100059,30478.4,489.61,88.13,29900.66,2026-08-21,SETTLED
SETL200060,TXN100060,38778.77,621.58,111.88,38045.31,2026-08-02,SETTLED
SETL200061,TXN100061,41322.8,1272.74,229.09,39820.97,2026-08-17,SETTLED
SETL200062,TXN100062,36693.7,799.92,143.99,35749.79,2026-08-04,SETTLED
SETL200063,TXN100063,59680.35,1431.36,257.64,57991.35,2026-08-18,SETTLED
SETL200064,TXN100064,47689.22,729.65,131.34,46828.23,2026-08-29,SETTLED
SETL200065,TXN100065,53341.42,853.13,153.56,52334.73,2026-08-15,SETTLED
SETL200066,TXN100066,43911.94,1203.26,216.59,42492.09,2026-08-12,SETTLED
SETL200067,TXN100067,41365.85,736.31,132.54,40497.0,2026-08-17,SETTLED
SETL200068,TXN100068,26196.65,400.81,72.15,25723.69,2026-08-13,SETTLED
SETL200069,TXN100069,21539.09,519.78,93.56,20925.75,2026-08-15,SETTLED
SETL200070,TXN100070,21422.95,479.87,86.38,20856.7,2026-08-20,SETTLED
SETL200071,TXN100071,13842.57,225.1,40.52,13576.95,2026-08-05,SETTLED
SETL200072,TXN100072,45875.04,701.89,126.34,45046.81,2026-08-20,SETTLED
SETL200073,TXN100073,2222.71,49.79,8.96,2163.96,2026-08-10,SETTLED
SETL200074,TXN100074,863.29,18.82,3.39,841.08,2026-08-06,SETTLED
SETL200075,TXN100075,8941.54,136.81,24.63,8780.1,2026-08-22,SETTLED
SETL200077,TXN100077,46721.72,1018.53,183.34,45519.85,2026-08-20,SETTLED
SETL200078,TXN100078,9865.89,175.61,31.61,9658.67,2026-08-21,SETTLED
SETL200079,TXN100079,26865.22,601.78,108.32,26155.12,2026-08-20,SETTLED
SETL200080,TXN100080,45419.12,781.21,140.62,44497.29,2026-08-05,SETTLED
SETL200081,TXN100081,40853.96,915.13,164.72,39774.11,2026-08-20,SETTLED
SETL200082,TXN100082,13620.85,293.49,52.83,13274.53,2026-08-21,SETTLED
SETL200083,TXN100083,56746.78,1271.13,228.8,55246.85,2026-08-06,SETTLED
SETL200084,TXN100084,959.93,14.69,2.64,942.6,2026-08-15,SETTLED
SETL200085,TXN100085,4788.49,104.39,18.79,4606.88,2026-08-03,SETTLED
SETL200086,TXN100086,42715.19,1025.89,184.66,41504.64,2026-08-15,SETTLED
SETL200087,TXN100087,57988.88,1242.96,223.73,56522.19,2026-08-07,SETTLED
SETL200088,TXN100088,26484.35,405.21,22.44,26056.7,2026-08-05,SETTLED
SETL200089,TXN100089,52296.2,1254.88,225.88,50815.44,2026-08-12,SETTLED
SETL200090,TXN100090,30873.76,472.37,85.03,30316.36,2026-08-05,SETTLED
SETL200092,TXN100092,11040.19,168.91,0,10871.28,2026-08-22,SETTLED
SETL200093,TXN100093,51922.69,1131.91,203.74,50587.04,2026-08-22,SETTLED
SETL200094,TXN100094,28400.8,434.53,78.22,27888.05,2026-08-22,SETTLED
SETL200095,TXN100095,30686.54,668.97,120.41,29897.16,2026-08-11,SETTLED
SETL200096,TXN100096,22439.89,482.21,86.8,21870.88,2026-08-11,SETTLED
SETL200097,TXN100097,28031.34,674.95,121.49,27234.9,2026-08-19,SETTLED
SETL200098,TXN100098,19630.84,337.65,60.78,19232.41,2026-08-17,SETTLED
SETL200099,TXN100099,6658.36,110.87,19.96,6527.53,2026-08-12,SETTLED
