transaction_id,tax_type,tax_rate,tax_amount
TXN100000,GST,18.0,11.15
TXN100002,GST,18.0,76.88
TXN100003,GST,18.0,8.22
TXN100004,GST,18.0,175.21
TXN100006,GST,18.0,61.59
TXN100007,GST,18.0,64.48
TXN100008,GST,18.0,106.53
TXN100009,GST,18.0,224.44
TXN100010,GST,18.0,16.93
TXN100011,GST,18.0,48.94
TXN100012,GST,18.0,23.01
TXN100013,GST,18.0,26.91
TXN100014,GST,18.0,161.15
TXN100015,GST,18.0,43.84
TXN100017,GST,18.0,6.52
TXN100018,GST,18.0,86.73
TXN100019,GST,18.0,182.22
TXN100020,GST,18.0,14.22
TXN100021,GST,18.0,166.63
TXN100022,GST,18.0,144.62
TXN100023,GST,18.0,167.87
TXN100024,GST,18.0,147.48
TXN100025,GST,18.0,247.28
TXN100026,GST,18.0,39.85
TXN100027,GST,18.0,125.97
TXN100028,GST,18.0,12.83
TXN100029,GST,18.0,40.31
TXN100030,GST,18.0,34.98
TXN100031,GST,18.0,86.5
TXN100032,GST,18.0,164.58
TXN100033,GST,18.0,155.3
TXN100034,GST,18.0,20.49
TXN100035,GST,18.0,7.28
TXN100036,GST,18.0,144.15
TXN100037,GST,18.0,118.82
TXN100039,GST,18.0,18.78
TXN100040,GST,18.0,25.89
TXN100041,GST,18.0,50.59
TXN100042,GST,18.0,166.3
TXN100043,GST,18.0,23.05
TXN100044,GST,18.0,142.25
TXN100045,GST,18.0,6.59
TXN100046,GST,18.0,105.5
TXN100047,GST,18.0,24.28
TXN100048,GST,18.0,75.69
TXN100049,GST,18.0,170.4
TXN100050,GST,18.0,52.69
TXN100051,GST,18.0,16.1
TXN100052,GST,18.0,109.98
TXN100053,GST,18.0,182.62
TXN100054,GST,18.0,151.32
TXN100055,GST,18.0,104.59
TXN100056,GST,18.0,4.44
TXN100057,GST,18.0,52.19
TXN100058,GST,18.0,79.42
TXN100059,GST,18.0,88.13
TXN100060,GST,18.0,111.88
TXN100061,GST,18.0,229.09
TXN100062,GST,18.0,143.99
TXN100063,GST,18.0,257.64
TXN100064,GST,18.0,131.34
TXN100065,GST,18.0,153.56
TXN100066,GST,18.0,216.59
TXN100067,GST,18.0,132.54
TXN100068,GST,18.0,72.15
TXN100069,GST,18.0,93.56
TXN100070,GST,18.0,86.38
TXN100071,GST,18.0,40.52
TXN100072,GST,18.0,126.34
TXN100073,GST,18.0,8.96
TXN100074,GST,18.0,3.39
TXN100075,GST,18.0,24.63
TXN100077,GST,18.0,183.34
TXN100078,GST,18.0,31.61
TXN100079,GST,18.0,108.32
TXN100080,GST,18.0,140.62
TXN100081,GST,18.0,164.72
TXN100082,GST,18.0,52.83
TXN100083,GST,18.0,228.8
TXN100084,GST,18.0,2.64
TXN100085,GST,18.0,18.79
TXN100087,GST,18.0,223.73
TXN100088,GST,18.0,22.44
TXN100089,GST,18.0,225.88
TXN100090,GST,18.0,85.03
TXN100092,GST,18.0,0
TXN100093,GST,18.0,203.74
TXN100094,GST,18.0,78.22
TXN100095,GST,18.0,120.41
TXN100096,GST,18.0,86.8
TXN100097,GST,18.0,121.49
TXN100098,GST,18.0,60.78
TXN100099,GST,18.0,19.96
TXN100100,GST,18.0,59.07
TXN100101,GST,18.0,89.02
TXN100102,GST,18.0,17.35
TXN100103,GST,18.0,62.47
TXN100104,GST,18.0,176.37
TXN100105,GST,18.0,115.04
TXN100106,GST,18.0,191.82
TXN100108,GST,18.0,35.03
